z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
0.0017746242,0.017211996,-0.0037634722,0.0054675564,-0.010561471,0.011696921,-0.006509689,-0.008362782,0.0013074774,0.016376838,-0.006738167,-0.015960433,-0.0016008433,0.0036117642,0.0056425687,0.006067473
-0.041173924,0.01984321,-0.018066986,-0.014559044,0.007859017,-0.007180587,0.00076821307,0.0096415905,0.007101592,-0.027183274,0.029959569,-0.0027860724,-0.01258235,-0.00079695263,-0.0034366818,-0.021768901
-0.002146236,-0.0011879555,-0.00778073,0.004175366,0.018830683,0.002499336,0.0016087026,-0.0037074378,0.008424994,0.004534539,-0.0046800203,0.006346119,0.00080456585,-0.015949171,-0.0026280484,-0.019948084
-0.002492441,0.0059883636,-0.0033370475,0.0017384101,-0.0024948232,0.0049209665,-0.007691644,0.003703695,0.020772204,0.0057635964,-0.014669019,-0.009915446,0.01340003,-0.002214838,-0.00149055,0.013661009
-0.031937636,0.0053120926,-0.008582662,-0.00555305,0.0075178337,-0.0042517534,0.013841763,-0.0007288908,-0.008575339,-0.031125257,0.0297803,-0.0035672286,0.007097829,-0.004513826,0.0029733537,-0.029272165
0.018840333,0.007635836,0.035274986,0.018898858,-0.027270742,0.017726427,-0.002815387,0.0044200323,0.001581807,0.038452875,-0.022345906,-0.025058372,-0.0021720084,0.022301693,-0.0023911407,0.04231661
-0.024751756,0.00858164,-0.008098351,-0.0029924107,-0.0023965861,-0.0011153653,0.005364359,0.0005381606,0.0033694797,-0.009518713,0.015745524,-0.0052966313,0.0012924037,-0.0058350815,0.0074533275,-0.015357131
-0.05719354,-0.0055409004,-0.02628498,-0.0037599048,0.024414323,-0.003233535,0.016514469,-0.007196167,0.0027570813,-0.03441582,0.030086214,0.003917088,-0.022110809,-0.0049662935,-0.005641669,-0.042993736
-0.0017069967,0.003852238,-0.0041138995,0.003575684,-0.0120968735,0.0033403647,0.017033404,0.011696418,0.012936671,0.018634528,-0.0022361027,-0.012805405,-4.295804e-05,0.0017488246,-0.0038171113,0.017761389
-0.006380434,0.010071373,-0.010993234,0.0035804922,0.008122382,-0.007609325,-0.0025649604,-0.0054689297,0.010820569,-0.00010281154,-0.009395898,-0.00664584,0.007430625,-0.008039718,-0.0067992467,-0.016595582
