z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
0.032542694,0.004764158,0.013708478,0.008598429,-0.021908043,0.008624432,-0.015202845,-0.0007110934,0.010066644,0.035915263,-0.033945873,-0.004336463,0.009930532,0.011298063,-0.005485975,0.03161127
0.016818956,0.007217444,0.0100524705,0.0033747,-0.016083911,0.009004382,-0.01281054,0.0037575867,0.016180634,0.013556887,-0.020717848,-0.0034954255,0.0064781415,0.013513695,0.0015362615,0.026747689
0.007836644,0.004615689,0.013497747,0.013446201,-0.015096409,0.013244873,-0.008063679,0.008299963,0.0064242743,0.023450604,-0.02185523,-0.0071706744,-0.003111356,0.013282853,-0.0055060536,0.017508447
0.004271694,-1.849141e-05,0.0054103504,0.0027207113,-0.006971054,0.0060415985,-0.009703212,0.0024084575,0.010683091,0.019305741,-0.02531885,-0.0038923551,-0.0033512139,-0.0017213479,-0.005891703,0.016894769
0.009591276,0.011498559,0.008351649,0.0043277317,-0.00599064,0.0004755084,-0.0012474856,-0.0063056685,0.0053513767,0.014316581,-0.013089957,-0.0114122685,-0.00014170702,-0.0029331406,-0.0030332122,0.015181562
-0.008456117,0.012311783,0.0060690427,0.011175699,-0.006514934,0.0025918952,0.008124736,-0.0022756057,0.007687873,0.011249688,-0.008224895,-0.013171466,0.002518415,0.004502755,-0.003521091,0.0050937207
-0.009654848,0.0076789674,0.0043248306,0.00026336158,0.00068597356,-0.0041324985,-0.002969049,-0.0043097744,0.011655096,0.0006874498,-0.007879162,-0.013845755,-0.0067574596,-0.000586287,-0.001304864,0.004588009
-0.00361606,0.004790473,0.0017858901,-0.0018101191,-0.0054058195,-0.0012595613,-0.007064733,-0.005579305,0.005638965,9.7318785e-05,-0.002558295,-0.006188647,0.0008635316,-0.017064255,-0.0076121464,0.004053817
-0.010007372,0.0071734926,-0.0042037936,-0.006817706,-0.0014915338,0.00917733,-0.0020945375,-0.0016755266,0.0070613483,0.001266449,-0.00473257,-0.0011162721,-0.0035487423,-0.005244016,0.006365207,0.00055301003
-0.024244864,0.0024102745,-0.013747278,-0.012932451,-0.002780194,0.002159523,-0.012252099,-0.0003970049,0.003478648,-0.005975011,0.0005183043,0.0016837581,-0.0081128115,-0.012226324,0.002914014,-0.0051698023
-0.03130414,0.0057393685,-0.015913593,-0.012384407,0.0037947372,0.0023121298,0.0028605382,-8.451275e-05,0.0026551927,-0.024747731,0.006499095,0.0031955177,-0.0058225263,-0.013680298,0.0061190883,-0.0127393175
-0.033693008,0.00952817,-0.015748264,-0.012182145,0.007576748,-0.006806664,0.00020852976,0.0015549567,-0.00046457443,-0.026221491,0.016251633,0.0012352779,-0.010003608,-0.013960843,0.0006402626,-0.022437954
-0.04493605,0.0023700194,-0.018066308,-0.011715381,0.016677698,-0.013934467,0.005986734,0.002033784,0.0011744774,-0.03379445,0.018646855,0.0012392821,-0.0014784826,-0.01002022,0.0004545442,-0.02725551
